URL,normalized_url,label
https://www.southbankmosaics.com,https://southbankmosaics.com,0
https://www.uni-mainz.de,https://uni-mainz.de,0
https://www.voicefmradio.co.uk,https://voicefmradio.co.uk,0
https://www.sfnmjournal.com,https://sfnmjournal.com,0
https://www.rewildingargentina.org,https://rewildingargentina.org,0
https://www.globalreporting.org,https://globalreporting.org,0
https://www.saffronart.com,https://saffronart.com,0
https://www.nerdscandy.com,https://nerdscandy.com,0
https://www.hyderabadonline.in,https://hyderabadonline.in,0
https://www.aap.org,https://aap.org,0
https://www.religionenlibertad.com,https://religionenlibertad.com,0
http://www.teramill.com,http://teramill.com,1
https://www.socialpolicy.org,https://socialpolicy.org,0
https://www.aoh61.com,https://aoh61.com,0
https://www.bulgariaski.com,https://bulgariaski.com,0
https://www.brightika.com,https://brightika.com,0
https://www.motley.ie,https://motley.ie,0
https://www.funzine.hu,https://funzine.hu,0
https://www.dixxon.com,https://dixxon.com,0
https://www.ooty.ind.in,https://ooty.ind.in,0
